id,NUMPOINTS,Elev_mean,Popsum,CoverageMe,Restricted
3322,0,.932427956276913,0,-112,1
3505,0,.318204406162001,0,-112,1
4434,0,.340894039735099,0,-112,1
4595,0,.340182270091135,7,-104.5526913,1
4596,0,6.29146484048772,356,-96.01209893,1
4597,4,5.97531068765534,242,-97.48265102,1
4598,0,1.37680198840099,68,-112,1
4616,0,.207153502235469,0,-112,1
4779,0,1.38048699685274,45,-105.4512482,1
4780,0,7.93819386909693,353,-97.90977352,1
4781,0,8.37087957594832,466,-105.3397754,0
4782,0,1.58233929754805,178,-112,1
4800,0,.067417591518966,0,-111.8945939,1
4962,0,.126273592784366,0,-104.5715269,1
4963,0,8.80284956925116,604,-106.6477812,0
4964,0,8.14676163657446,567,-111.7648527,1
4965,0,1.36972005963227,93,-112,1
4981,0,1.67020043067749,408,-102.8378846,1
4982,0,3.44751655629139,435,-104.5067041,1
5020,0,8.14302248677249,1614,-98.56702594,1
5021,0,6.36261373035567,504,-105.3570287,1
5022,0,3.33623378755541,217,-111.3187713,1
5023,0,2.5249917245945,1310,-104.9888515,1
5024,0,3.85768657951349,1304,-102.6331932,1
5025,0,1.38988095238095,538,-107.81239,1
5026,0,1.45283018867925,857,-98.19784236,1
5027,0,.093072882468812,165,-94.28654162,1
5146,3,2.55424879907239,121,-111.3820668,1
5147,0,6.89910536779324,369,-112,1
5148,0,6.57985420808482,331,-112,1
5164,0,.403046862063256,11,-90.17026292,1
5165,0,7.12305399138788,838,-94.29402511,1
5166,0,1.02716131169261,75,-95.84036495,1
5202,0,.043349753694581,161,-102.4869543,1
5203,4,8.19973523084561,2057,-88.11223881,1
5204,0,14.3464658169177,3610,-96.88684015,0
5205,0,13.6882236189216,1286,-103.9562343,0
5206,0,12.0291342492965,2952,-103.0804066,0
5207,4,11.6814422758849,2870,-91.40764031,1
5208,0,13.7091267235719,3910,-103.7365738,1
5209,0,12.6086668871981,2277,-103.6844382,1
5210,4,14.8828008607846,5239,-90.3206914,1
5211,2,9.93482216708023,2493,-96.2729716,1
5212,1,4.5262200165426,1701,-106.219498,1
5213,0,.997374466688546,459,-102.9968421,1
5329,0,.002650762094102,0,-112,1
5330,0,.580752029153553,14,-112,1
5347,5,4.75765601721569,1065,-95.34807701,1
5348,4,5.77612187448253,476,-94.52511407,1
5349,0,.009938711280437,0,-112,1
5383,0,2.69265143992056,327,-107.2526932,1
5384,0,2.04253558424363,272,-104.0059982,0
5385,0,6.05312810327706,2734,-99.69915298,0
5386,0,6.21565706719629,1730,-92.19845493,1
5387,4,9.38166170142337,2342,-90.61722165,1
5388,0,6.22521339461589,610,-104.0034502,0
5389,0,.628845517697651,61,-95.444737,1
5390,0,2.40996358821582,1081,-97.62026925,1
5391,0,1.92833498841443,235,-105.6618334,1
5392,0,8.49164598842018,1702,-94.21803978,1
5393,5,9.06812212738017,4713,-92.85057936,1
5394,0,6.05825885468388,1372,-104.684071,1
5395,0,10.1104314762771,2790,-99.03163986,1
5396,0,11.1199933796756,1607,-95.02983466,1
5397,0,6.68000661485034,606,-104.4637452,1
5398,0,2.8380420499343,263,-108.4391841,1
5506,0,1.2864479787939,280,-92.9166449,1
5507,0,.257332228666114,130,-99.91326652,1
5508,0,.738556632141664,473,-112,1
5509,0,2.10273405136703,1321,-112,1
5510,0,.00115990057995,4,-112,1
5530,0,.355036447978794,3,-104.1015575,1
5531,0,7.25608746065927,432,-104.4665043,1
5532,0,5.14373240602749,73,-105.3912263,1
5564,0,1.58738828202582,161,-112,0
5565,0,1.26994372724264,174,-111.90454,0
5566,0,2.44438927507448,1355,-108.2865445,1
5567,4,4.48526490066225,1277,-93.99935813,1
5568,4,9.30065681444992,7930,-88.85209346,1
5569,0,2.93791390728477,4773,-95.27425211,1
5571,0,.264316451506124,0,-112,1
5576,0,.079351959001488,20,-107.8218413,1
5579,4,8.36353192187756,731,-88.72231708,1
5580,0,13.3650057937428,1096,-99.99559316,1
5581,0,18.297833636514,1181,-106.3320095,1
5582,4,19.0112526890617,1204,-102.3031184,1
5583,0,14.8965916611516,2163,-99.14181256,1
5584,0,8.25205119789957,1783,-104.3010819,1
5585,0,3.06703078450844,1141,-101.4107765,1
5586,0,.074227144982642,202,-112,1
5688,3,3.40945539592382,1150,-90.85044033,1
5689,0,3.94283347141674,1341,-94.69821058,1
5690,0,.031151615575808,4,-104.5300825,1
5691,3,1.18558409279205,481,-112,1
5692,0,1.09889017724035,402,-112,1
5713,0,2.84865043881437,48,-108.4149311,1
5714,0,8.20615996025832,135,-101.5408787,1
5715,0,4.99552832063597,67,-100.7424013,1
5739,3,1.54558993877213,173,-97.00780298,1
5740,0,.73299122661811,342,-108.6640516,1
5741,0,.123965574313141,298,-112,1
5745,0,2.77441244620986,1,-112,1
5746,0,1.82469789769906,110,-112,1
5747,0,0,0,-112,1
5749,0,1.62793776895068,3446,-84.412579,1
